3121.4;100;65.5462;
3121.4;99.9;0;
3141.82;99.8;81.4992;
3141.82;99.7;0;
3141.82;99.6;0;
3157.52;99.5;85.3985;
3157.52;99.4;41.5144;
3197.9;99.3;66.591;
3197.9;99.2;0;
3197.9;99.1;0;
3197.9;99;46.0324;
3197.9;98.9;0;
3285.79;98.8;41.0845;
3294.07;98.7;91.9501;
3351.37;98.6;55.9287;
3351.37;98.5;0;
3351.37;98.4;0;
3351.37;98.3;0;
3351.37;98.2;0;
3351.37;98.1;0;
3351.37;98;0;
3351.37;97.9;0;
3351.37;97.8;0;
3358.19;97.7;93.2517;
3546;97.6;14.5987;
3664.03;97.5;29.8033;
3664.03;97.4;0;
3664.03;97.3;0;
3558.03;97.2;297.576;
3558.03;97.1;0;
3665.8;97;32.9215;
3665.8;96.9;0;
3621.6;96.8;157.867;
3615.17;96.7;106.881;
3657.68;96.6;64.3984;
3657.68;96.5;0;
3657.68;96.4;0;
3668.57;96.3;89.3077;
3668.57;96.2;0;
3668.57;96.1;0;
3668.57;96;0;
3668.57;95.9;0;
3668.57;95.8;0;
3668.57;95.7;0;
3668.57;95.6;0;
3668.57;95.5;0;
3668.57;95.4;0;
3668.57;95.3;0;
3668.57;95.2;0;
3668.57;95.1;0;
3668.57;95;0;
3747.16;94.9;43.6848;
3703.28;94.8;158.876;
3703.28;94.7;0;
3703.28;94.6;0;
3703.28;94.5;0;
3703.28;94.4;0;
3707.09;94.3;96.0344;
3726.38;94.2;81.4874;
3726.38;94.1;0;
3726.38;94;0;
3726.38;93.9;0;
3726.38;93.8;36.5197;
3726.38;93.7;0;
3765.21;93.6;66.0429;
3765.21;93.5;0;
3765.21;93.4;0;
3765.21;93.3;0;
3765.21;93.2;0;
3831.82;93.1;48.8975;
3831.82;93;0;
3831.82;92.9;0;
3830.51;92.8;101.42;
3830.51;92.7;17.7137;
3841.43;92.6;88.8719;
3841.43;92.5;0;
3841.43;92.4;0;
3841.43;92.3;100;
3841.43;92.2;0;
3842.26;92.1;99.1077;
3842.26;92;43.5064;
3842.26;91.9;0;
3842.26;91.8;19.1612;
3842.26;91.7;0;
3842.26;91.6;0;
3791.59;91.5;173.968;
3791.59;91.4;0;
3791.59;91.3;0;
3791.59;91.2;0;
3808.12;91.1;83.4141;
3808.12;91;0;
3808.12;90.9;0;
3766.51;90.8;158.128;
3766.51;90.7;0;
3766.51;90.6;0;
3766.51;90.5;0;
3766.51;90.4;0;
3711.34;90.3;184.226;
3711.34;90.2;0;
3670.26;90.1;157.753;
3670.26;90;0;
3624.65;89.9;166.095;
3624.65;89.8;0;
3624.65;89.7;62.1764;
3570.88;89.6;182.231;
3570.88;89.5;0;
3570.88;89.4;59.6672;
3570.88;89.3;0;
3570.88;89.2;52.0351;
3718.78;89.1;19.0146;
3718.78;89;0;
3718.78;88.9;0;
3702.52;88.8;120.091;
3709.14;88.7;92.8158;
3709.14;88.6;0;
3709.14;88.5;65.7282;
3709.14;88.4;0;
3709.14;88.3;0;
3709.14;88.2;0;
3709.14;88.1;0;
3709.14;88;27.2624;
3709.14;87.9;0;
3709.14;87.8;0;
3709.14;87.7;0;
3709.14;87.6;0;
3709.14;87.5;0;
3735.93;87.4;73.5977;
3752.37;87.3;82.8331;
3752.37;87.2;0;
3752.37;87.1;78.2824;
3752.37;87;0;
3752.37;86.9;0;
3752.37;86.8;0;
3752.37;86.7;0;
3752.37;86.6;0;
3752.37;86.5;28.86;
3752.37;86.4;0;
3752.37;86.3;0;
3752.37;86.2;0;
3752.37;86.1;25.5755;
3752.37;86;41.8869;
3786.24;85.9;67.4154;
3786.24;85.8;0;
3807.57;85.7;77.9646;
3801.94;85.6;106.803;
3801.94;85.5;0;
3801.94;85.4;0;
3800.79;85.3;101.361;
3844.77;85.2;59.6733;
3848.3;85.1;95.9435;
3848.3;85;53.6462;
3848.3;84.9;32.5434;
3848.3;84.8;0;
3848.3;84.7;0;
3848.3;84.6;0;
3848.3;84.5;0;
3881.37;84.4;67.579;
3881.37;84.3;0;
3881.37;84.2;0;
3881.37;84.1;0;
3895.13;84;84.8913;
3895.13;83.9;19.1645;
3895.13;83.8;0;
3879.14;83.7;121.057;
3879.14;83.6;65.746;
3879.14;83.5;0;
3879.14;83.4;0;
3879.14;83.3;0;
3910.34;83.2;68.7305;
3910.34;83.1;0;
3910.34;83;0;
3910.34;82.9;0;
3910.34;82.8;0;
3910.34;82.7;0;
3910.34;82.6;0;
3880.85;82.5;142.967;
3880.85;82.4;0;
3892.03;82.3;87.2983;
3892.03;82.2;0;
3892.03;82.1;25.4038;
3892.03;82;100;
3892.03;81.9;0;
3737.03;81.8;665.111;
3737.03;81.7;0;
3737.03;81.6;0;
3737.03;81.5;0;
3737.03;81.4;13.4068;
3737.03;81.3;29.8791;
3737.03;81.2;0;
3685;81.1;189.955;
3685;81;0;
3685;80.9;0;
3685;80.8;0;
3685;80.7;0;
3685;80.6;0;
3685;80.5;0;
3685;80.4;0;
3732.42;80.3;55.4041;
3732.42;80.2;0;
3732.42;80.1;0;
3729.34;80;103.918;
3729.34;79.9;0;
3729.34;79.8;47.2908;
3729.34;79.7;0;
